num ex mark,num words,num chars,avg_word,stopwords,upper,ScoreAngry,ScoreDisgust,ScoreFear,ScoreHappy,ScoreSad,ScoreSurprise
0,47,226,3.83,27,0,1,1,1,0,1,0
0,3,27,8.336,0,0,0,0,0,1,0,2
0,24,144,5.043,9,0,0,0,0,0,0,0
0,8,46,4.875,3,0,0,0,0,0,0,0
0,26,139,4.383,10,1,0,0,0,0,0,0
1,19,73,3.055,8,0,0,0,0,0,0,0
0,18,93,4.223,9,0,0,0,0,0,0,0
0,7,36,5.0,3,0,0,0,0,0,0,0
2,15,64,3.572,5,2,1,1,0,0,0,0
0,22,93,3.428,8,2,1,0,1,0,1,0
0,12,50,3.545,6,0,0,0,0,0,0,0
0,17,107,5.35,4,1,0,0,0,1,0,0
1,6,32,4.5,2,0,0,0,0,1,0,0
0,2,12,5.5,0,0,0,0,0,1,0,0
0,10,51,4.2,2,0,0,0,2,1,1,0
0,7,34,4.0,2,0,1,0,0,0,1,0
1,24,133,4.78,12,5,0,0,0,1,0,1
0,15,76,4.133,7,0,0,0,0,0,0,0
1,12,64,4.816,6,0,0,0,0,0,0,0
0,17,81,3.824,9,0,0,0,0,0,0,0
6,15,89,5.77,5,0,0,0,0,0,0,0
0,7,27,3.0,4,0,0,1,0,0,0,0
0,9,22,3.5,2,0,0,0,0,0,0,0
0,12,58,4.273,4,1,0,0,0,1,1,0
0,27,148,4.52,15,0,0,0,0,0,0,1
0,11,69,5.363,6,0,0,0,0,0,0,0
0,9,37,3.223,5,0,1,1,1,0,1,0
0,8,49,5.25,3,0,0,0,0,0,0,0
0,13,65,4.418,3,0,1,1,1,1,2,0
0,14,79,4.715,9,0,0,1,0,0,1,0
0,4,38,8.75,1,0,0,0,0,1,0,0
0,22,109,4.0,11,0,1,1,1,0,1,0
1,15,95,6.23,4,0,0,0,0,0,0,0
0,11,50,3.637,8,0,0,0,0,0,0,0
0,18,129,6.223,6,0,1,0,1,0,1,1
0,12,58,3.916,6,0,0,0,0,0,0,0
0,10,44,3.5,6,0,0,0,0,0,0,0
0,11,44,3.092,4,1,0,0,0,0,0,0
0,5,27,4.6,2,0,0,0,0,0,0,0
1,7,41,5.0,3,0,0,0,0,0,1,0
0,14,70,4.07,6,0,0,0,0,0,0,0
0,12,82,5.918,3,1,0,0,0,1,0,0
0,13,66,4.152,6,0,0,0,0,0,0,0
0,35,165,3.742,16,0,0,0,0,1,0,0
1,25,132,4.5,9,0,0,0,0,0,0,0
0,27,107,3.115,14,2,0,0,0,1,0,1
0,23,132,4.78,11,0,0,0,0,0,1,0
0,21,107,4.145,14,0,0,0,1,1,1,1
0,14,63,3.572,9,0,0,0,1,0,0,0
0,14,66,5.89,1,0,1,1,0,2,0,2
0,30,150,4.035,20,0,0,0,0,0,0,0
1,13,63,4.25,4,1,0,0,0,0,0,0
0,5,24,5.0,1,0,0,0,0,0,0,0
0,4,22,4.75,1,0,0,0,0,0,0,0
0,20,111,4.6,10,0,0,0,0,0,0,0
0,8,51,5.5,2,0,0,0,1,0,0,1
0,17,66,4.168,5,2,0,0,0,2,1,1
0,30,158,4.3,16,0,0,0,0,1,0,1
0,14,45,3.555,3,1,0,0,0,2,1,1
0,20,101,4.1,9,0,0,0,0,1,0,0
0,15,61,4.7,4,1,0,0,0,0,0,0
0,22,82,3.812,8,1,0,0,0,0,0,0
0,2,12,5.5,0,0,0,0,0,1,0,0
0,26,135,4.23,14,0,0,0,0,2,1,0
0,32,138,3.451,16,1,0,0,0,0,0,0
0,47,207,3.426,28,0,0,0,1,0,1,0
0,16,101,5.375,3,1,0,0,0,0,0,0
1,10,60,5.668,1,0,0,0,0,0,0,0
0,18,73,3.111,11,0,0,0,0,0,0,0
1,10,50,4.555,2,0,0,0,0,1,0,0
0,28,150,4.395,13,0,0,0,0,0,0,0
1,9,50,4.668,3,0,0,0,1,0,1,0
0,7,34,4.0,4,0,0,0,0,1,0,1
0,29,170,4.9,14,0,0,0,0,0,0,0
0,4,26,5.75,1,0,0,0,0,1,0,0
0,27,124,3.629,7,0,0,0,0,0,0,0
0,33,158,3.818,14,0,0,0,0,1,0,0
0,44,194,3.432,28,0,0,0,0,0,0,0
0,20,94,3.75,10,0,0,0,0,0,0,0
0,26,107,4.1,11,1,0,0,0,0,0,0
0,25,117,3.875,11,1,0,0,0,2,0,0
0,15,48,3.4,4,1,0,0,0,1,0,0
0,7,40,4.855,3,0,0,0,1,1,0,0
0,5,33,5.8,1,0,0,0,0,1,0,0
0,37,190,4.164,25,0,0,0,0,0,0,0
0,32,153,3.812,16,0,0,0,0,0,0,0
0,205,867,3.725,85,13,0,0,1,0,1,0
0,8,53,6.57,2,0,0,0,0,0,0,0
0,9,52,4.89,3,0,0,0,0,0,0,0
2,18,88,4.176,6,2,0,0,0,0,0,0
0,8,37,3.75,5,0,0,0,0,0,0,0
0,42,197,3.715,21,0,1,1,1,0,1,0
0,24,107,4.668,6,1,1,0,1,0,0,0
1,10,50,4.1,4,0,0,0,0,1,0,0
2,9,45,4.11,3,1,0,0,0,0,0,0
2,19,86,3.777,5,1,0,0,0,0,0,0
0,11,92,7.453,2,1,2,2,1,0,1,0
0,33,188,4.727,17,0,1,0,2,0,1,0
0,15,56,4.2,4,1,0,0,0,2,0,2
0,14,66,3.785,7,0,0,0,0,0,0,0
0,13,43,3.875,3,2,0,0,0,2,1,0
0,7,46,5.715,2,0,0,0,0,0,0,0
0,21,110,4.285,7,1,0,0,0,0,0,0
1,24,128,4.375,8,1,1,3,1,0,1,0
0,8,55,6.0,3,0,0,0,0,1,0,0
0,13,57,3.46,6,1,0,0,0,0,0,0
0,21,124,5.2,8,1,0,0,0,0,0,0
0,39,174,4.25,15,0,0,0,0,0,0,0
0,24,141,4.918,8,0,1,0,3,0,0,0
0,5,23,3.8,2,0,0,0,0,1,0,0
3,4,18,3.75,1,0,1,0,0,0,0,0
0,19,69,3.643,6,1,0,0,2,0,1,0
0,41,154,3.354,9,3,0,0,0,0,0,0
1,6,43,6.332,2,0,0,1,0,1,1,0
0,23,125,4.906,6,0,0,0,0,0,0,0
0,9,41,3.666,4,0,3,2,4,0,3,1
0,16,90,4.688,8,0,0,0,0,1,0,0
0,26,140,4.42,6,2,0,0,0,2,0,1
0,23,114,4.0,11,0,1,0,1,2,3,0
0,35,189,4.43,14,0,0,0,0,0,0,0
0,25,129,4.2,12,1,0,0,0,0,0,0
0,8,41,4.25,2,0,0,0,0,1,0,1
0,19,98,4.21,10,2,1,0,0,0,1,0
0,15,68,3.6,4,1,0,0,1,0,0,0
1,16,92,5.133,4,0,1,1,1,2,2,0
0,7,40,4.855,3,0,0,0,0,1,0,0
0,38,185,3.895,23,0,1,1,1,0,1,0
0,26,137,4.31,8,4,0,0,0,2,0,1
0,14,66,3.785,10,0,1,1,1,1,1,0
0,29,138,3.928,10,2,0,0,0,1,0,0
0,10,51,4.2,6,0,2,2,2,3,5,1
0,9,57,5.445,4,0,0,0,0,0,0,0
0,10,44,3.5,6,0,0,0,0,0,0,0
0,6,29,4.0,2,0,2,1,2,0,1,2
0,29,145,4.035,16,0,0,0,0,0,0,0
0,6,38,5.5,2,0,0,0,0,0,0,0
0,16,101,5.375,7,0,0,0,0,2,0,1
0,31,142,3.613,18,0,0,0,0,1,0,0
0,20,107,4.4,9,0,0,0,0,0,0,0
0,7,32,3.715,4,0,0,0,1,1,1,0
1,10,56,5.875,2,0,0,0,0,0,0,0
0,24,111,3.666,15,0,1,1,0,0,1,0
0,3,12,3.334,1,0,0,0,0,1,0,0
0,6,40,5.832,3,0,0,0,0,0,0,0
0,16,82,4.188,5,1,0,0,0,0,0,0
0,22,121,4.547,8,0,0,0,0,0,0,0
1,8,47,5.0,2,1,1,2,1,0,1,0
0,9,40,3.555,3,1,0,0,0,0,0,0
0,5,34,6.0,0,0,0,0,0,1,0,0
1,16,78,3.938,4,2,1,1,1,0,1,0
0,14,83,5.0,4,2,0,0,0,0,0,0
2,18,130,6.65,1,2,0,0,0,0,0,0
0,23,125,4.477,11,0,0,0,0,0,0,0
0,10,54,4.5,5,0,0,0,0,0,0,0
0,4,22,4.75,1,0,0,0,0,2,1,0
0,9,98,12.86,1,0,0,0,0,0,0,0
0,5,32,5.6,2,0,0,0,0,1,0,0
0,36,179,4.0,22,0,0,1,0,0,1,0
1,24,123,4.547,9,0,1,0,0,0,0,0
0,6,35,5.0,2,0,0,0,0,1,0,0
1,19,105,4.58,7,0,0,0,0,0,0,0
0,14,71,4.145,7,0,0,0,0,1,1,0
0,17,69,3.117,8,0,2,0,0,2,2,2
0,10,42,4.125,4,2,0,0,0,1,0,0
0,32,147,3.625,18,0,0,0,0,0,1,0
0,8,37,3.75,5,0,0,0,0,0,0,0
0,20,108,4.45,10,0,0,0,0,0,0,0
0,24,126,4.293,9,4,0,0,0,0,0,0
0,15,87,4.867,5,0,1,1,1,0,1,0
0,26,138,4.52,10,0,1,1,0,0,1,1
0,11,70,6.0,3,0,0,0,0,0,0,0
0,12,59,4.0,4,0,0,0,0,0,0,1
0,26,104,3.95,10,1,0,0,0,0,0,0
3,18,91,4.11,7,0,0,0,0,0,0,0
0,11,37,4.5,2,0,0,0,0,0,1,0
0,10,41,3.2,4,0,0,0,0,0,0,0
0,17,91,4.688,6,3,0,0,0,1,0,0
0,15,71,3.8,6,0,0,0,0,0,0,0
1,23,135,4.914,8,0,0,0,0,1,0,0
0,12,63,4.332,5,0,1,1,2,2,1,1
0,8,40,4.125,4,0,0,0,0,0,0,0
0,6,38,5.5,2,0,0,0,0,0,0,0
0,19,70,3.715,7,0,1,0,1,1,0,0
0,33,127,3.518,9,3,0,0,0,1,0,0
0,4,23,5.0,2,0,0,0,0,0,0,0
0,4,27,6.0,0,0,0,0,0,0,0,0
0,8,37,3.75,2,0,0,0,0,0,1,0
0,9,52,4.89,1,0,0,0,0,0,0,0
0,12,60,4.082,6,0,0,0,0,3,0,2
0,27,153,4.703,11,0,0,0,0,0,0,0
0,37,145,3.633,13,2,0,0,0,1,0,1
0,25,136,4.48,6,2,0,0,1,1,0,1
1,19,108,4.74,6,1,1,1,0,2,1,1
3,8,52,6.43,2,0,0,0,0,0,0,0
0,6,36,5.168,2,0,0,0,0,0,0,0
0,20,117,4.9,11,0,0,0,0,0,0,0
1,23,113,3.957,7,2,1,1,1,0,1,0
0,51,218,3.906,21,3,1,0,1,0,1,0
0,12,56,4.09,5,1,0,0,0,1,0,1
0,19,80,4.77,5,1,0,0,0,0,0,0
0,12,61,4.168,6,1,0,0,0,0,0,0
0,21,108,4.19,8,0,0,0,1,0,1,0
0,7,36,4.285,1,1,0,0,1,0,0,1
0,3,13,3.666,2,0,0,0,0,1,1,0
0,19,106,4.633,8,0,1,0,0,0,0,0
1,6,46,6.832,0,0,2,0,0,1,0,1
0,10,39,3.75,0,7,2,0,0,1,0,0
0,49,258,4.285,21,0,0,0,0,2,1,1
0,15,85,5.07,6,0,0,0,0,0,0,0
0,12,56,3.75,8,0,0,0,0,0,0,0
0,3,16,4.668,1,0,0,0,0,1,0,1
0,3,18,5.332,1,0,0,0,0,1,1,1
2,28,135,3.857,10,1,0,0,0,0,0,0
0,26,114,3.424,13,0,1,0,0,1,0,1
0,43,207,3.838,22,0,0,0,0,0,0,0
0,7,42,5.145,0,1,0,1,0,1,0,0
0,40,211,5.375,14,0,0,0,0,0,0,0
0,23,90,4.0,8,0,0,0,0,1,0,0
0,29,132,4.523,11,0,0,0,0,0,0,0
0,6,31,4.332,2,1,0,0,0,0,0,0
0,10,52,4.3,5,0,0,1,0,0,0,0
0,15,56,4.2,4,1,0,0,0,0,1,0
0,8,52,5.625,1,0,0,0,0,1,0,1
0,7,36,4.285,2,0,0,0,0,0,0,0
0,5,26,5.5,0,0,0,0,0,0,0,0
0,5,25,4.2,2,0,0,0,0,0,0,0
0,12,62,4.25,4,0,0,0,0,0,0,0
0,21,79,3.934,7,0,0,0,0,0,0,0
0,7,37,4.43,3,0,0,0,0,1,0,1
0,13,72,4.617,6,0,0,0,0,1,1,0
2,15,89,5.0,2,1,0,0,0,0,0,0
0,11,68,5.273,5,0,0,0,1,0,1,0
4,16,118,7.355,3,0,0,0,0,0,0,0
0,15,71,3.8,7,0,0,0,0,0,0,0
0,17,83,3.941,10,0,0,0,0,0,0,0
0,25,134,4.4,13,0,1,0,1,0,2,0
0,4,33,7.5,0,0,0,0,0,0,0,0
0,5,27,4.6,1,0,0,0,0,0,0,0
0,18,94,4.277,10,0,0,0,0,0,0,0
0,6,23,3.0,4,0,0,0,0,0,0,0
0,10,51,4.2,4,0,0,0,0,0,0,0
0,29,126,3.379,16,0,0,0,0,0,0,0
0,20,104,4.25,10,0,0,0,0,1,0,1
0,13,62,3.846,7,0,0,0,1,0,0,0
0,16,91,4.75,7,0,0,0,0,1,0,0
0,6,37,5.332,1,0,0,0,0,0,0,0
1,8,51,5.5,1,0,2,0,2,1,0,2
0,10,53,4.4,3,1,0,0,0,1,0,1
1,15,64,3.334,7,1,0,0,0,0,0,0
0,32,164,4.156,19,0,0,0,0,2,0,1
0,47,193,3.77,18,4,1,0,1,0,0,1
0,10,65,5.6,4,0,0,0,0,0,0,0
0,16,79,4.0,10,0,0,0,0,0,0,0
0,1,15,15.0,0,0,0,0,1,0,0,0
0,21,104,4.0,13,0,1,1,1,1,1,1
0,15,101,6.69,3,0,1,1,1,1,1,1
0,21,79,3.934,6,2,0,0,0,0,0,0
1,17,88,4.5,3,1,0,0,0,0,0,0
0,23,116,4.273,3,0,1,0,0,1,1,0
0,8,46,4.875,1,0,0,0,0,0,0,0
0,6,44,6.5,0,5,0,0,0,0,0,0
1,17,92,4.47,8,0,0,0,1,1,0,1
0,48,249,4.207,24,0,0,1,0,0,0,0
0,25,133,4.543,9,1,0,1,0,1,0,0
0,27,138,4.31,8,0,0,0,0,0,0,0
0,20,92,3.65,12,0,0,0,0,0,0,0
0,8,40,4.125,5,0,0,0,0,0,0,0
0,18,94,4.53,8,0,0,0,0,0,0,0
6,8,49,5.25,1,4,0,0,0,0,0,0
0,12,34,3.285,3,1,0,0,0,1,0,0
0,22,97,4.75,9,1,0,0,0,0,0,0
0,16,87,4.5,7,0,0,0,0,0,0,0
0,37,180,3.893,22,0,0,0,0,0,0,0
0,7,32,3.715,2,0,0,0,0,0,0,0
0,19,94,4.0,10,0,0,0,0,0,0,0
0,17,84,4.0,9,0,0,0,0,1,0,0
5,14,66,4.08,4,0,0,0,0,0,0,0
0,7,28,3.143,3,0,0,0,1,1,0,1
1,1,13,13.0,0,0,0,0,0,0,0,0
0,23,87,3.824,7,1,0,0,0,0,0,0
0,8,30,3.285,2,0,0,0,0,1,0,0
0,10,59,5.0,4,0,0,0,0,0,0,0
0,36,165,3.611,16,2,0,0,0,1,1,0
0,16,90,4.688,6,0,0,0,0,0,0,0
3,17,81,4.062,4,1,1,1,1,0,0,0
0,9,45,4.11,3,0,0,0,0,1,0,0
3,10,87,7.8,0,1,0,0,0,2,0,0
0,23,110,4.0,3,1,0,0,0,0,0,0
0,19,105,4.58,10,0,0,0,1,0,0,0
0,6,32,4.5,2,0,1,0,1,0,0,0
0,25,135,4.44,3,1,0,0,0,0,0,0
0,10,34,5.0,1,1,0,0,1,0,1,0
0,8,33,3.25,3,1,0,0,0,0,0,0
0,15,76,4.133,5,0,0,0,0,0,1,0
0,26,136,4.27,7,1,0,0,0,0,0,0
0,22,123,5.1,9,1,0,0,0,1,0,0
0,25,130,4.24,12,0,0,0,0,0,0,0
0,16,72,3.562,10,0,0,0,0,0,0,0
