Emotion,Text
joy,During the period of falling in love
fear,When I was involved in a traffic accident.     
anger,When I was driving home after  several days of hard work     
sadness,When I lost the person who meant the most to me.      
disgust,The time I knocked a deer down - the sight of the animal's  injuries and helplessness.  The realization that the animal was  so badly hurt that it had to be put down     
shame,When I did not speak the truth.     
guilt,When I caused problems for somebody because he could not keep the  appointed time and this led to various consequences.     
joy,When I got a letter offering me the Summer job that I had applied  for.       
fear,When I was going home alone one night in Paris and a man came up  behind me and asked me if I was not afraid to be out alone so  late at night.     
anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.     
sadness,When my friends did not ask me to go to a New Year's party  with them.     
disgust,When I saw all the very drunk kids (13-14 years old) in town on  Walpurgis night.     
shame,When I could not remember what to say about a presentation task  at an accounts meeting.     
guilt,When my uncle and my neighbour came home under police escort.     
joy,[ On days when I feel close to my partner and other friends.   When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.]     
fear,Every time I imagine that someone I love or I could contact a  serious illness     
anger,When I had been obviously unjustly treated and had no possibility  of elucidating this.     
sadness,When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time.     
disgust,At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating.     
shame,When I realized that I was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings.     
guilt,I feel guilty when when I realize that I consider material things  more important than caring for my relatives.  I feel very  self-centered.     
joy,After my girlfriend had taken her exam we went to her parent's  place.     
fear,When     
anger,When a car is overtaking another and I am forced to drive off the  road.     
sadness,When I recently thought about the hard work it takes to study     
disgust,When I found a bristle in the liver paste tube.     
shame,When I was tired and unmotivated     
guilt,When I think that I do not study enough.  After the weekend I  think that I should have been able to have accomplished  something during that time.     
joy,When I pass an examination which I did not think I did well.     
fear,When one has arranged to meet someone and that person arrives  late     
anger,When one is unjustly accused of something one has not done.     
sadness,When one's studies seem hopelessly difficult and uninteresting.       
disgust,When one finds out that someone you know is not at all like one  had thought     
shame,When one has been unjust     
guilt,When one has neglected or been unjust to a good friend.     
joy,Passing an exam I did not expect to pass.     
fear,When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable.     
anger,Friends who torture animals.     
sadness,[ Same as in anger.]     
shame,[ Same as above - friends who torture animals.]     
guilt,[ When excuses are necessary and I get out of doing it myself.]     
joy,When I had my children.     
fear,When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down.     
anger,When my partner was attacked and lost three teeth.     
sadness,When I see children on T.V from areas devastated by drought and  war.     
disgust,When I nearly walked on a blindworm and then saw it crawl away.     
shame,When I saw my 18 year old son grab an oxygen mask as he had  breathing difficulties.  I had a bad conscience because I had not  stopped smoking.  Medication for the dilation of his breathing  tubes also caused a sense of guilt in me.     
guilt,I experience a sense of guilt as my middle son cannot express  himself like other children     
joy,When my child was born.     
fear,It was winter/spring and the ice was melting.  I was far out on a  jetty and I poked the ice with a long branch to try and break it.   The branch went through the ice and I fell in     
anger,Unjust accusations directed at me and my way of acting     
sadness,Failing an examination.     
disgust,A drunkard fell     
guilt,When I am in an environment or with a person much worse off than  me     
joy,When I saw a person I had not seen for a long time.     
anger,When I heard on the radio that the football match in Belgium had  ended in a catastrophe     
sadness,When I feel lonely     
disgust,When one learns through the mass media all the wars and killing  going on in the world.     
shame,I lied     
guilt,When one lets friends down     
joy,When I was accepted for a course on finance and accounting.     
fear,A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell     
anger,At my Summer job     
sadness,When I was not accepted as a student in finance and accounting.     
disgust,When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted.     
shame,My elder brother and I have not always had a good relationship  and I feel ashamed of myself as I do not call him to talk to him  nowadays.     
guilt,At my Summer job a new caretaker had been employed who was my age   but I preferred going out for lunch with the accounts personnel  rather than with him.     
joy,Passed an exam by 2 points.     
fear,In a cottage in a large forest     
anger,When I spoke to Jan-Erik Wikstr÷m on the telephone.      
sadness,Railway station good-bye.     
disgust,I saw a cripple in rags with small children in Italy.  He was  probably an imposter.     
shame,I told a friend that I was going to a party and he would not  enjoy himself if he came along.  He understood  that he would not  have fitted in and there was something in that.     
guilt,I was the reason behind the break-up of my friend's relationship  with his girlfriend.  She finished with him.     
joy,I passed an exam that I was absolutely certain that I had failed.     
fear,On the way back from Denmark with a friend on a small yatch     
anger,I locked myself out.     
sadness,I missed the last tram home and had to walk in the pouring rain.     
disgust,I found some worms in the food and I had obviously eaten some.     
shame,My friend was so intoxicated that the police came and took him  away     
guilt,I hapened to overhear something which I was not meant to hear.     
joy,When I won a trip to Greece in a competition.     
fear,When I am out in the dark and a suspicious looking character  comes towards me.     
anger,At work     
sadness,When I had not understood anything after a lecture.     
disgust,When an alcoholic stood dribbling over a food counter.     
shame,When my friend and I were discussing the good looks of a guy we  realized that he had been listening.     
guilt,When I complained about a colleague to the manager and he told  her that someone had complained; this colleague came to me  believing that I liked her.     
joy,At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends.     
fear,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.     
anger,Mad at my dad.     
sadness,A case of unrequited love.     
disgust,A bad smelling cucumber.     
shame,Nearly caught masturbating.     
guilt,I do not help out enough at home.     
joy,I felt very happy when I won the football pools.     
fear,When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash.     
anger,When someone stole my bike.     
sadness,When I saw the list of books to read for an acccouting course     
disgust,It was when I read a newspaper article on the future and they  foresaw that we would be eating frog-burgers by the year 2000.   An illustration showed a frog between two pieces of bread.     
shame,When I dropped a bottle in the state liquor store and everyboby  started laughing.     
guilt,When I was young - 14     
joy,When the whole family gets together for a one week holiday.   Everybody feels free and the trip is well planned.  It works out  well and we enjoy ourselves.     
fear,When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her     
anger,When friends try to put me down or hurt me.       
sadness,Marriage crises.  Boredom.     
disgust,When someone makes advances that one does not want.     
shame,The discovery that one has only thought of oneself.     
guilt,When I spanked a child in anger and later regretted it terribly.     
joy,When I passed the first examination that I had to repeat.     
fear,When I drove to Stockholm for the first time and drove off the  Stora Hissingen road at the wrong exit.     
anger,When my boyfriend went away for a month long holiday without me.     
sadness,Last year when I worked during the Summer holidays and studied  at the same time for an examination I had to repeat; my boyfriend  went to Greece for a holiday for a month.     
disgust,When a dog is left whining outside a shop.     
shame,When I promised to help a friend over a weekend and did not keep  the promise.     
guilt,When I realized that I had three more examinations to take.     
joy,The day I was told that I had been accepted as a student of  economics.     
fear,While taking a short cut through the Vasa park     
anger,At a restaurant I observed how the gypsies tried to get money by  cheating the foreigners i.e non Swedish speaking.  My anger had  nothing to do with hatred against foreigners     
sadness,At the begining of a new course one is afraid of encountering  problems one can not manage.  Thoughts revolve around failing  the subject and the consequences it would have for the future.     
disgust,While walking in town I noticed how the police harrassed a man  who was under the influence of alcohol.  They terrified him with  the thought of arrest by driving close behind him on a pedestrian  street.  My disgust was directed at the gestures and the facial  expressions of the policemen; they seemed to be enjoying  themselves.     
shame,When my boyfriend revealed that he knew that I had discovered  things of an important nature about him     
guilt,When I am dishonest to a friend to whom I am very close.  I  feel guilty because I know that he gives a different version of  the truth and I have not corrected these mistakes     
joy,When I found out that I had passed the last two exams by a  margin of three marks.     
fear,When my father was ill and was waiting for the results of his tests.     
anger,When I got caught in the pouring rain last Thursday and did not  have a raincoat on me.     
sadness,When I failed an exam.     
disgust,At a Sm÷rgasbord table     
shame,When I had not prepared my contribution to the group as  thoroughly as the other members     
guilt,When my father and I worked on the house just after he had  recovered from illness     
joy,When I gave birth to my son and saw that he was alive and that I  had managed it well.  He was born a month too early with a  malfunctioning lung.  This happened a year ago.     
fear,When I found out that my father had lung cancer and they did not  know how long he would live.     
anger,When a colleague asked me for help at work     
sadness,When I did not get the salary increase that I had been expecting  and understood how little one's work was appreciated.     
